id,title_de_CH,title_fr_CH,title_it_CH,title_rm_CH,short_title_de_CH,short_title_fr_CH,short_title_it_CH,short_title_rm_CH,date,shortcode,domain,status,answer,type,ballot_answer,district,name,entity_id,counted,yeas,nays,invalid,empty,eligible_voters,expats
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Werdenberg,Sevelen,3275,True,618,370,0,4,2579,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Werdenberg,Wartau,3276,True,897,424,0,7,3005,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Sarganserland,Bad Ragaz,3291,True,1198,500,1,5,3923,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Sarganserland,Flums,3292,True,753,475,0,6,3291,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Sarganserland,Mels,3293,True,1636,1045,0,13,6184,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Sarganserland,Pfäfers,3294,True,297,190,0,3,1098,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Sarganserland,Quarten,3295,True,467,437,0,6,2040,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Sarganserland,Sargans,3296,True,1124,497,0,2,3737,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Sarganserland,Vilters-Wangs,3297,True,1104,564,0,2,3384,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Sarganserland,Walenstadt,3298,True,1101,502,0,10,3852,
